frag1	frag2	observeCount	AFC.expectCount
15060	15061	7	6.973011175
15060	15062	6	5.700193419
15060	15063	9	5.298813264
15060	15064	4	5.254237232
15060	15065	2	2.109115001
15060	15066	5	6.73282698
15060	15067	5	4.520981089
15060	15068	3	4.428536839
15060	15069	4	3.504986482
15061	15062	3	9.771069107
15061	15063	5	4.738887013
15061	15064	5	4.109659227
15061	15065	2	1.659954253
15061	15066	7	5.210811217
15061	15067	5	3.413956852
15061	15068	1	3.598868487
15061	15069	3	2.096639916
15062	15063	11	5.135921638
15062	15064	9	3.161750555
15062	15065	5	1.23416454
15062	15066	3	3.939427327
15062	15067	6	2.583683326
15062	15068	7	2.620112366
15062	15069	5	1.538377345
15063	15064	12	5.598369355
15063	15065	8	2.193868864
15063	15066	4	5.006119077
15063	15067	2	3.027752055
15063	15068	5	3.426280613
15063	15069	4	2.117291219
15064	15065	9	5.745318314
15064	15066	5	8.628914225
15064	15067	6	5.96064205
15064	15068	3	4.120340648
15064	15069	3	2.284529508
15065	15066	5	3.953577272
15065	15067	9	2.682828992
15065	15068	3	1.686753511
15065	15069	0	0.85758832
15066	15067	11	7.237879813
15066	15068	4	6.561337449
15066	15069	1	3.491427119
15067	15068	3	5.074977791
15067	15069	10	3.58123064
15068	15069	8	5.809057911
